ticker,date,score_100,score_nonlinear,20거래일(약1개월),60거래일(약3개월),120거래일(약6개월)
028260.KS,2022-10-04,21.5,94.3,11.21495327102804,10.280373831775693,1.0280373831775602
028260.KS,2022-11-02,51.5,89.0,2.521008403361336,-0.3361344537815114,-11.008403361344543
028260.KS,2022-11-30,47.8,90.7,-3.278688524590168,-8.688524590163937,-9.75409836065574
028260.KS,2022-12-28,31.9,96.8,0.5084745762711895,-8.38983050847457,-9.830508474576272
028260.KS,2023-01-30,22.5,94.8,-6.070826306914001,-10.708263069139967,-13.406408094435074
028260.KS,2023-02-27,22.6,93.3,-2.9622980251346465,-1.1669658886894083,-7.001795332136441
028260.KS,2023-03-28,18.0,96.7,-2.0351526364477346,-1.5726179463459775,0.7400555041628065
028260.KS,2023-04-25,19.8,96.7,3.966005665722383,-3.021718602455148,-1.227573182247399
028260.KS,2023-05-25,41.6,93.8,-3.3605812897366083,-5.903723887375112,7.811080835604001
028260.KS,2023-06-26,20.1,97.0,-3.477443609022557,2.3496240601503797,20.58270676691729
028260.KS,2023-07-24,19.3,96.5,0.8763388510223846,1.850048685491723,14.60564751703992
028260.KS,2023-08-22,30.3,96.6,5.115830115830122,14.575289575289574,56.66023166023167
028260.KS,2023-09-19,51.1,87.5,-3.9485766758494014,17.814508723599644,43.43434343434343
028260.KS,2023-10-24,28.4,96.8,13.479923518164426,12.523900573613766,34.1300191204589
028260.KS,2023-11-21,59.8,80.1,8.087615838247686,36.73125526537488,25.021061499578767
028260.KS,2023-12-19,61.1,71.7,-8.26188620420889,21.745908028059247,5.5339049103663385
028260.KS,2024-01-19,20.7,96.8,37.892948173322,19.201359388275275,29.226847918436704
028260.KS,2024-02-20,61.1,74.0,-3.758471965495991,-8.564386937769564,-14.048059149722736
028260.KS,2024-03-20,48.1,78.0,-10.179257362355951,-13.316261203585144,-4.545454545454541
028260.KS,2024-04-18,12.1,94.1,5.773342836778328,8.410548823948671,-2.565930149679263
028260.KS,2024-05-21,29.6,94.7,-8.760107816711592,-5.997304582210239,-20.95687331536388
028260.KS,2024-06-19,19.1,93.5,12.333825701624823,10.118168389955695,-12.259970457902511
028260.KS,2024-07-17,54.4,84.3,-8.284023668639051,-10.124917817225509,-22.2879684418146
028260.KS,2024-08-14,18.4,94.5,6.88172043010753,-15.91397849462366,-4.731182795698929
028260.KS,2024-09-12,40.0,93.6,-8.316566063044938,-20.321931589537225,-17.370892018779337
028260.KS,2024-10-18,12.8,94.5,-14.191660570592536,-13.533284564740311,-16.60570592538405
028260.KS,2024-11-15,10.9,91.4,1.278772378516635,13.299232736572897,4.347826086956519
028260.KS,2024-12-13,19.9,94.8,-0.5050505050505083,3.703703703703698,38.72053872053871
028260.KS,2025-01-15,20.2,95.0,12.436548223350252,-3.5532994923857864,53.46869712351945
028260.KS,2025-02-18,66.1,79.2,-7.298720842738904,-7.900677200902939,21.444695259593672
028260.KS,2025-03-19,23.5,95.9,-7.467532467532467,33.76623376623375,51.37987012987013
028260.KS,2025-04-16,15.9,94.3,7.36842105263158,59.12280701754386,84.64912280701755
028260.KS,2025-05-19,39.8,92.9,34.640522875817005,31.862745098039213,79.33006535947713
028260.KS,2025-06-18,56.8,67.2,10.072815533980584,13.167475728155331,54.73300970873787
028260.KS,2025-07-16,60.6,79.1,-11.02535832414554,16.041896361631757,56.28445424476296
066570.KS,2022-09-01,36.7,86.4,-17.40020470829069,-0.1023541453428866,15.353121801432955
